250.0416 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

250.0416 	WARNING 	FrameRate could not be supplied by psychopy; defaulting to 60.0
250.0419 	EXP 	Created video1 = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename='GG_right_01_42\\GGY15.mp4', flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='video1', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='norm', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
250.1818 	EXP 	video1: autoLog = True
250.1818 	EXP 	video1: movie = 'GG_right_01_42\\GGY15.mp4'
250.1818 	EXP 	video1: size = array([1.7, 2. ])
250.1818 	EXP 	video1: ori = 0.0
250.1818 	EXP 	image_video_text: autoDraw = True
251.1759 	EXP 	video1: autoDraw = True
251.1911 	EXP 	image_video_text: autoDraw = False
280.4405 	EXP 	Set video1 finished
280.4718 	EXP 	video1: autoDraw = False
280.4718 	EXP 	image_video_text: autoDraw = False
280.4718 	EXP 	image_judge: image = 'picture\\p15.tif'
280.4718 	EXP 	slider_left: markerPos = None
280.4718 	EXP 	slider_left: markerPos = None
280.4718 	EXP 	slider_left: rating = None
280.4718 	EXP 	slider_mid: markerPos = None
280.4718 	EXP 	slider_mid: markerPos = None
280.4718 	EXP 	slider_mid: rating = None
280.4718 	EXP 	slider_right: markerPos = None
280.4718 	EXP 	slider_right: markerPos = None
280.4718 	EXP 	slider_right: rating = None
280.4718 	EXP 	image_judge: autoDraw = True
280.4718 	EXP 	image_judge_text: autoDraw = True
280.4718 	EXP 	slider_left: autoDraw = True
280.4718 	EXP 	slider_mid: autoDraw = True
280.4718 	EXP 	slider_right: autoDraw = True
286.4580 	DATA 	Mouse: Left button down, pos=(807,248)
286.4712 	EXP 	slider_left: markerPos = 2.875000000000001
286.4966 	EXP 	slider_left: markerPos = 2.875000000000001
286.5240 	EXP 	slider_left: markerPos = 2.8843750000000004
286.5408 	EXP 	slider_left: markerPos = 2.8843750000000004
286.5705 	EXP 	slider_left: markerPos = 2.8843750000000004
286.5750 	DATA 	Mouse:  Left button up, pos=(807,249)
286.5967 	EXP 	slider_left: markerPos = 2.8843750000000004
286.5967 	EXP 	slider_left: rating = 2.8843750000000004
287.2012 	DATA 	Mouse: Left button down, pos=(1316,264)
287.2208 	EXP 	slider_mid: markerPos = 3.0250000000000004
287.2382 	EXP 	slider_mid: markerPos = 3.0250000000000004
287.2631 	EXP 	slider_mid: markerPos = 3.0250000000000004
287.2901 	EXP 	slider_mid: markerPos = 3.0250000000000004
287.3061 	EXP 	slider_mid: markerPos = 3.0250000000000004
287.3099 	DATA 	Mouse:  Left button up, pos=(1316,264)
287.3283 	EXP 	slider_mid: markerPos = 3.0250000000000004
287.3283 	EXP 	slider_mid: rating = 3.0250000000000004
287.8935 	DATA 	Mouse: Left button down, pos=(1756,362)
287.9116 	EXP 	slider_right: markerPos = 3.9437500000000005
287.9403 	EXP 	slider_right: markerPos = 3.9437500000000005
287.9553 	EXP 	slider_right: markerPos = 3.9437500000000005
287.9782 	EXP 	slider_right: markerPos = 3.9437500000000005
287.9866 	DATA 	Mouse:  Left button up, pos=(1756,362)
288.0063 	EXP 	slider_right: markerPos = 3.9437500000000005
288.0063 	EXP 	slider_right: rating = 3.9437500000000005
289.3833 	EXP 	New trial (rep=0, index=2): {'Numb': 3, 'picture_show': 'picture\\p03.tif', 'Video_1': 'GG_left_01_42\\GGZ03.mp4', 'picture_judge': 'picture\\p03.tif'}
292.8224 	EXP 	image_judge: autoDraw = False
292.8224 	EXP 	image_judge_text: autoDraw = False
292.8224 	EXP 	slider_left: autoDraw = False
292.8224 	EXP 	slider_mid: autoDraw = False
292.8224 	EXP 	slider_right: autoDraw = False
