A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
36,36,36,9,72,72,117,0.69,0.5,0.5,0.8,-0.3,-1.5,,stimuli/P_36_36_36_09.png,,,,,0,25,25,253,,,,,,,,,,,,,,,,,,,,,,,,,,,309.50965035489935,None,309.50965035489935,None,309.97119314875454,None,309.97119314875454,None,,309.97119314875454,None,None,,309.97119314875454,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,0,9,0,9,18,18,1.0,0.0,1.0,1.0,0.0,None,,stimuli/P_09_00_09_00.png,,,,,0,26,26,68,,,,,,,,,,,,,,,,,,,,,,,,,,,317.98282409201056,None,317.98282409201056,None,318.4927241893456,None,318.4927241893456,None,50,318.4927241893456,None,return,6.030919137490855,318.4927241893456,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,9,0,18,9,0,27,0.67,1.0,0.0,0.0,0.0,0.0,,stimuli/P_00_09_00_18.png,,,,,0,27,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,324.5429343655269,None,324.5429343655269,None,325.01221064152924,None,325.01221064152924,None,0,325.01221064152924,None,return,1.5804298641887726,325.01221064152924,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,9,0,0,18,9,18,0.5,0.5,0.5,None,None,None,,stimuli/P_09_09_00_00.png,,,,,0,28,28,80,,,,,,,,,,,,,,,,,,,,,,,,,,,326.6358271736826,None,326.6358271736826,None,327.1684196992719,None,327.1684196992719,None,50,327.1684196992719,None,return,3.1581819660932524,327.1684196992719,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,9,0,0,27,18,27,0.67,0.33,0.67,None,None,None,,stimuli/P_18_09_00_00.png,,,,,0,29,29,144,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3440005779921,None,330.3440005779921,None,330.8152867401586,None,330.8152867401586,None,60,330.8152867401586,None,return,5.056767763999233,330.8152867401586,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,9,9,9,27,27,45,0.8,0.33,0.67,0.5,0.17,0.33,,stimuli/P_18_09_09_09.png,,,,,0,30,30,149,,,,,,,,,,,,,,,,,,,,,,,,,,,335.91150072448363,None,335.91150072448363,None,336.3912371694096,None,336.3912371694096,None,45,336.3912371694096,None,return,7.070202086571953,336.3912371694096,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,0,18,18,36,54,72,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_36_00_18_18.png,,,,,0,31,31,202,,,,,,,,,,,,,,,,,,,,,,,,,,,343.48041000995,None,343.48041000995,None,343.95753468375915,None,343.95753468375915,None,50,343.95753468375915,None,return,4.889157025412715,343.95753468375915,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,18,18,9,54,54,81,0.78,0.33,0.67,0.67,0.0,0.0,,stimuli/P_36_18_18_09.png,,,,,0,32,32,233,,,,,,,,,,,,,,,,,,,,,,,,,,,348.8854108888845,None,348.8854108888845,None,349.3775445710635,None,349.3775445710635,None,45,349.3775445710635,None,return,4.978569368380704,349.3775445710635,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,36,36,0,45,45,81,0.56,0.8,0.2,1.0,-0.8,#NAME?,,stimuli/P_09_36_36_00.png,,,,,0,33,33,124,,,,,,,,,,,,,,,,,,,,,,,,,,,354.3965113427985,None,354.3965113427985,None,354.8696958888104,None,354.8696958888104,None,20,354.8696958888104,None,return,6.970803459531453,354.8696958888104,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,9,0,0,9,0,9,0.0,1.0,0.0,None,None,None,,stimuli/P_00_09_00_00.png,,,,,0,34,34,16,,,,,,,,,,,,,,,,,,,,,,,,,,,361.86252560713183,None,361.86252560713183,None,362.34657764685835,None,362.34657764685835,None,0,362.34657764685835,None,return,1.6947487528523197,362.34657764685835,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,18,36,18,27,45,81,0.78,0.67,0.33,0.67,-0.33,-1.0,,stimuli/P_09_18_36_18.png,,,,,0,35,35,110,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0754990155401,None,364.0754990155401,None,364.5644662594568,None,364.5644662594568,None,20,364.5644662594568,None,return,7.1272742063811165,364.5644662594568,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,18,18,36,18,18,72,0.75,1.0,0.0,0.33,-0.33,-0.5,,stimuli/P_00_18_18_36.png,,,,,0,36,36,43,,,,,,,,,,,,,,,,,,,,,,,,,,,371.72564570366376,None,371.72564570366376,None,372.1987892896359,None,372.1987892896359,None,0,372.1987892896359,None,return,1.8498575785488356,372.1987892896359,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,18,9,36,54,45,99,0.82,0.33,0.67,0.2,0.47,0.58,,stimuli/P_36_18_09_36.png,,,,,0,37,37,231,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0835761068738,None,374.0835761068738,None,374.5591084593252,None,374.5591084593252,None,30,374.5591084593252,None,return,6.895124674949329,374.5591084593252,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,36,18,36,45,27,99,0.64,0.8,0.2,0.33,-0.13,-0.2,,stimuli/P_09_36_18_36.png,,,,,0,38,38,123,,,,,,,,,,,,,,,,,,,,,,,,,,,381.4814192197009,None,381.4814192197009,None,381.9579095818626,None,381.9579095818626,None,10,381.9579095818626,None,return,7.399464447538776,381.9579095818626,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,36,18,18,36,18,72,0.5,1.0,0.0,0.5,-0.5,-1.0,,stimuli/P_00_36_18_18.png,,,,,0,39,39,58,,,,,,,,,,,,,,,,,,,,,,,,,,,389.38629920964013,None,389.38629920964013,None,389.86015106288687,None,389.86015106288687,None,0,389.86015106288687,None,return,1.7566530190088088,389.86015106288687,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,9,36,18,45,72,99,0.91,0.2,0.8,0.67,0.13,0.4,,stimuli/P_36_09_36_18.png,,,,,0,40,40,222,,,,,,,,,,,,,,,,,,,,,,,,,,,391.650354332749,None,391.650354332749,None,392.1251556623538,None,392.1251556623538,None,35,392.1251556623538,None,return,7.287250449568091,392.1251556623538,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,0,36,9,36,72,81,1.0,0.0,1.0,0.8,0.2,1.0,,stimuli/P_36_00_36_09.png,,,,,0,41,41,205,,,,,,,,,,,,,,,,,,,,,,,,,,,399.4543270010254,None,399.4543270010254,None,399.9292597440799,None,399.9292597440799,None,45,399.9292597440799,None,return,7.465521037243889,399.9292597440799,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,36,36,36,45,45,117,0.69,0.8,0.2,0.5,-0.3,-0.6,,stimuli/P_09_36_36_36.png,,,,,0,42,42,127,,,,,,,,,,,,,,,,,,,,,,,,,,,407.431155567916,None,407.431155567916,None,407.91270449439617,None,407.91270449439617,None,15,407.91270449439617,None,return,6.902057729756052,407.91270449439617,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,0,0,18,0,0,18,1.0,None,None,0.0,None,None,,stimuli/P_00_00_00_18.png,,,,,0,43,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,414.8433437952117,None,414.8433437952117,None,415.3155970693115,None,415.3155970693115,None,0,415.3155970693115,None,return,1.4970739175041672,415.3155970693115,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,36,36,36,72,72,144,0.75,0.5,0.5,0.5,0.0,0.0,,stimuli/P_36_36_36_36.png,,,,,0,44,44,255,,,,,,,,,,,,,,,,,,,,,,,,,,,416.8418817495185,None,416.8418817495185,None,417.3142305970323,None,417.3142305970323,None,25,417.3142305970323,None,return,3.450025628466392,417.3142305970323,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,36,9,0,54,27,63,0.43,0.67,0.33,1.0,-0.67,#NAME?,,stimuli/P_18_36_09_00.png,,,,,0,45,45,180,,,,,,,,,,,,,,,,,,,,,,,,,,,420.80500634026976,None,420.80500634026976,None,421.28882797979895,None,421.28882797979895,None,35,421.28882797979895,None,return,6.073545449427911,421.28882797979895,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,9,0,36,45,36,81,0.89,0.2,0.8,0.0,0.8,0.8,,stimuli/P_36_09_00_36.png,,,,,0,46,46,211,,,,,,,,,,,,,,,,,,,,,,,,,,,427.40342050425534,None,427.40342050425534,None,427.8738715368163,None,427.8738715368163,None,4,427.8738715368163,None,None,,427.8738715368163,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,0,9,0,0,9,9,1.0,None,None,1.0,None,None,,stimuli/P_00_00_09_00.png,,,,,0,47,47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,435.8882871935566,None,435.8882871935566,None,436.38962152358727,None,436.38962152358727,None,0,436.38962152358727,None,return,4.068456165077805,436.38962152358727,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,18,0,36,36,18,72,0.75,0.5,0.5,0.0,0.5,0.5,,stimuli/P_18_18_00_36.png,,,,,0,48,48,163,,,,,,,,,,,,,,,,,,,,,,,,,,,440.4924630691239,None,440.4924630691239,None,440.9579363196608,None,440.9579363196608,None,25,440.9579363196608,None,return,5.102673154280637,440.9579363196608,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,0,0,0,9,9,9,1.0,0.0,1.0,None,None,None,,stimuli/P_09_00_00_00.png,,,,,0,49,49,64,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0766612565276,None,446.0766612565276,None,446.5490197751642,None,446.5490197751642,None,100,446.5490197751642,None,return,3.050826283368224,446.5490197751642,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
