number,type,latency,connective,pause
771,95,1412865,or,200
772,202,1413665,or,200
773,203,1414232,or,200
774,204,1414782,or,200
775,255,1416932,or,200
776,221,1420814,and,200
777,138,1421715,and,200
778,202,1422515,and,200
779,203,1423182,and,200
780,204,1423465,and,200
781,255,1425332,and,200
782,212,1430068,or,0
783,47,1430782,or,0
784,202,1431582,or,0
785,203,1432148,or,0
786,204,1432898,or,0
787,255,1434982,or,0
788,212,1439665,or,0
789,165,1440281,or,0
790,202,1441048,or,0
791,203,1441598,or,0
792,204,1442348,or,0
793,255,1444348,or,0
794,212,1448204,or,0
795,111,1448815,or,0
796,202,1449615,or,0
797,203,1450131,or,0
798,204,1450881,or,0
799,255,1452998,or,0
800,211,1456347,and,0
801,82,1456914,and,0
802,202,1457681,and,0
803,203,1458281,and,0
804,204,1458514,and,0
805,255,1460431,and,0
806,211,1465438,and,0
807,77,1466131,and,0
808,202,1466797,and,0
809,203,1467447,and,0
810,204,1467730,and,0
811,255,1469614,and,0
812,222,1503981,or,200
813,18,1504746,or,200
814,202,1505546,or,200
815,203,1506029,or,200
816,204,1506613,or,200
817,255,1508613,or,200
818,222,1511995,or,200
819,120,1512896,or,200
820,202,1513646,or,200
821,203,1514246,or,200
822,204,1514879,or,200
823,255,1516846,or,200
824,222,1521846,or,200
825,166,1522462,or,200
826,202,1523346,or,200
827,203,1523829,or,200
828,204,1524496,or,200
829,255,1526529,or,200
830,211,1530469,and,0
831,163,1531112,and,0
832,202,1531912,and,0
833,203,1532512,and,0
834,204,1532829,and,0
835,255,1534796,and,0
836,221,1538013,and,200
837,144,1538779,and,200
838,202,1539645,and,200
839,203,1540295,and,200
840,204,1540612,and,200
841,255,1542462,and,200
842,221,1545843,and,200
843,60,1546579,and,200
844,202,1547412,and,200
845,203,1547895,and,200
846,204,1548179,and,200
847,255,1550079,and,200
848,212,1553975,or,0
849,22,1554595,or,0
850,202,1555512,or,0
851,203,1556062,or,0
852,204,1556812,or,0
853,255,1558862,or,0
854,222,1563858,or,200
855,68,1564462,or,200
856,202,1565262,or,200
857,203,1565745,or,200
858,204,1566412,or,200
859,255,1568529,or,200
860,212,1573517,or,0
861,38,1574078,or,0
862,202,1574845,or,0
863,203,1575395,or,0
864,204,1576112,or,0
865,255,1578312,or,0
866,221,1581374,and,200
867,5,1582061,and,200
868,202,1582828,and,200
869,203,1583378,and,200
870,204,1583661,and,200
871,255,1585495,and,200
872,221,1590490,and,200
873,74,1591178,and,200
874,202,1591895,and,200
875,203,1592578,and,200
876,204,1592861,and,200
877,255,1594745,and,200
878,222,1599740,or,200
879,28,1600428,or,200
880,202,1601111,or,200
881,203,1601594,or,200
882,204,1602261,or,200
883,255,1604361,or,200
884,212,1609356,or,0
885,126,1610161,or,0
886,202,1610961,or,0
887,203,1611528,or,0
888,204,1612278,or,0
889,255,1614361,or,0
890,221,1617479,and,200
891,86,1618128,and,200
892,202,1618878,and,200
893,203,1619477,and,200
894,204,1619794,and,200
895,255,1621644,and,200
896,222,1626639,or,200
897,115,1627377,or,200
898,202,1628244,or,200
899,203,1628727,or,200
900,204,1629444,or,200
901,255,1631411,or,200
902,221,1636399,and,200
903,172,1637077,and,200
904,202,1637844,and,200
905,203,1638560,and,200
906,204,1638844,and,200
907,255,1640727,and,200
908,211,1643803,and,0
909,164,1644410,and,0
910,202,1645177,and,0
911,203,1645777,and,0
912,204,1646010,and,0
913,255,1647911,and,0
914,211,1652903,and,0
915,10,1653627,and,0
916,202,1654427,and,0
917,203,1655077,and,0
918,204,1655344,and,0
919,255,1657210,and,0
920,212,1662212,or,0
921,155,1662860,or,0
922,202,1663577,or,0
923,203,1664060,or,0
924,204,1664810,or,0
925,255,1666794,or,0
926,222,1671782,or,200
927,15,1672393,or,200
928,202,1673227,or,200
929,203,1673793,or,200
930,204,1674460,or,200
931,255,1676577,or,200
932,211,1679923,and,0
933,129,1680693,and,0
934,202,1681543,and,0
935,203,1682143,and,0
936,204,1682460,and,0
937,255,1684260,and,0
938,212,1687426,or,0
939,81,1688126,or,0
940,202,1688960,or,0
941,203,1689526,or,0
942,204,1690275,or,0
943,255,1692375,or,0
944,211,1697377,and,0
945,53,1698025,and,0
946,202,1698942,and,0
947,203,1699542,and,0
948,204,1699775,and,0
949,255,1701692,and,0
950,211,1706681,and,0
951,76,1707325,and,0
952,202,1708158,and,0
953,203,1708725,and,0
954,204,1709008,and,0
955,255,1710909,and,0
956,222,1714144,or,200
957,105,1714942,or,200
958,202,1715792,or,200
959,203,1716275,or,200
960,204,1716975,or,200
961,255,1719108,or,200
962,211,1724106,and,0
963,42,1724758,and,0
964,202,1725525,and,0
965,203,1726208,and,0
966,204,1726475,and,0
967,255,1728358,and,0
968,221,1731406,and,200
969,96,1732108,and,200
970,202,1732858,and,200
971,203,1733458,and,200
972,204,1733708,and,200
973,255,1735691,and,200
974,212,1740217,or,0
975,167,1740908,or,0
976,202,1741674,or,0
977,203,1742191,or,0
978,204,1742891,or,0
979,255,1744825,or,0
980,212,1749573,or,0
981,175,1750274,or,0
982,202,1750991,or,0
983,203,1751591,or,0
984,204,1752341,or,0
985,255,1754324,or,0
986,221,1758957,and,200
987,83,1759524,and,200
988,202,1760324,and,200
989,203,1760891,and,200
990,204,1761207,and,200
991,255,1763158,and,200
992,212,1767342,or,0
993,32,1767824,or,0
994,202,1768707,or,0
995,203,1769341,or,0
996,204,1770091,or,0
997,255,1772241,or,0
998,221,1775505,and,200
999,87,1776007,and,200
1000,202,1776957,and,200
1001,203,1777557,and,200
1002,204,1777841,and,200
1003,255,1779791,and,200
1004,221,1784113,and,200
1005,168,1784790,and,200
1006,202,1785524,and,200
1007,203,1786157,and,200
1008,204,1786440,and,200
1009,255,1788357,and,200
1010,211,1791492,and,0
1011,45,1792140,and,0
1012,202,1792890,and,0
1013,203,1793457,and,0
1014,204,1793774,and,0
1015,255,1795824,and,0
1016,221,1800824,and,200
1017,70,1801440,and,200
1018,202,1802208,and,200
1019,203,1802841,and,200
1020,204,1803124,and,200
1021,255,1804991,and,200
1022,212,1808524,or,0
1023,9,1809258,or,0
1024,202,1810108,or,0
1025,203,1810541,or,0
1026,204,1811258,or,0
1027,255,1813408,or,0
1028,211,1816547,and,0
1029,147,1817274,and,0
1030,202,1818024,and,0
1031,203,1818674,and,0
1032,204,1818957,and,0
1033,255,1820874,and,0
1034,222,1825863,or,200
1035,40,1826541,or,200
1036,202,1827341,or,200
1037,203,1827824,or,200
1038,204,1828541,or,200
1039,255,1830458,or,200
1040,222,1833485,or,200
1041,134,1834291,or,200
1042,202,1835057,or,200
1043,203,1835657,or,200
1044,204,1836291,or,200
1045,255,1838407,or,200
1046,211,1843396,and,0
1047,20,1844207,and,0
1048,202,1845007,and,0
1049,203,1845674,and,0
1050,204,1845924,and,0
1051,255,1847857,and,0
1052,212,1851051,or,0
1053,102,1851824,or,0
1054,202,1852574,or,0
1055,203,1853140,or,0
1056,204,1853857,or,0
1057,255,1855790,or,0
1058,222,1859252,or,200
1059,54,1859990,or,200
1060,202,1860790,or,200
1061,203,1861257,or,200
1062,204,1861974,or,200
1063,255,1863874,or,200
1064,212,1867168,or,0
1065,4,1867657,or,0
1066,202,1868540,or,0
1067,203,1869023,or,0
1068,204,1869773,or,0
1069,255,1871823,or,0
1070,211,1875636,and,0
1071,104,1876373,and,0
1072,202,1877090,and,0
1073,203,1877773,and,0
1074,204,1877973,and,0
1075,255,1879923,and,0
1076,211,1884012,and,0
1077,160,1884656,and,0
1078,202,1885456,and,0
1079,203,1886140,and,0
1080,204,1886423,and,0
1081,255,1888323,and,0
