Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
15,R,M,270,R,N,015RM270RN,HRN,0,41,41,102,,,0.986,982.677627,982.9719216,982.9882889,983.2719719,983.2887913,None,down,2.1493588,983.2887913,None,983.2887913,984.2547221,0.1097132,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
234,G,M,45,L,N,234GM045LN,HLN,0,42,42,137,,,0.947,985.5590032,985.8529965,985.8688681,986.1527027,986.1695541,None,down,2.5337827,986.1695541,None,986.1695541,987.101954,0.1083515,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,R,M,90,_,_,_RM090__,N,0,43,43,18,,,1.36,988.8252495,989.1165057,989.132956,989.4166613,989.4331887,None,down,2.8314228,989.4331887,None,989.4331887,990.7815094,0.1114016,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
229,G,N,180,L,N,229GN180LN,HLN,0,44,44,236,,,1.314,992.3541887,992.6797658,992.6968601,992.9820026,992.997253,None,down,2.9145287,992.997253,None,992.997253,994.2947274,0.0803098,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,F,N,225,_,_,_FN225__,N,0,45,45,53,,,1.256,996.0968926,996.393528,996.393528,996.6265735,996.6431417,None,up,2.60083,996.6431417,None,996.6431417,997.8757827,0.1755745,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
41,R,M,0,L,N,041RM000LN,HLN,0,46,46,104,,,1.216,999.3790696,999.6737845,999.6737845,999.9572919,999.9743558,None,down,2.3011726,999.9743558,None,999.9743558,1001.173082,0.1241923,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
3,R,N,90,R,N,003RN090RN,HRN,0,47,47,194,,,1.12,1002.502127,1002.804632,1002.804632,1002.988427,1003.00477,None,up,2.0028449,1003.00477,None,1003.00477,1004.120475,0.2159968,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
174,F,M,225,L,N,174FM225LN,HLN,0,48,48,125,,,0.925,1005.140295,1005.435678,1005.435678,1005.718193,1005.734962,None,down,1.7176623,1005.734962,None,1005.734962,1006.651709,0.121372,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
226,G,N,45,L,N,226GN045LN,HLN,0,49,49,233,,,1.019,1007.638431,1007.933284,1007.933284,1008.182697,1008.182697,None,up,2.0007876,1008.182697,None,1008.182697,1009.183084,0.17765,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_5,N,90,_,_,__5N090__,N,0,50,50,90,,,1.076,1010.30244,1010.597423,1010.614133,1010.899251,1010.917104,None,up,2.5798235,1010.917104,None,1010.917104,1011.980436,0.1081524,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
387,_4,N,90,R,N,387_4N090RN,HRN,0,51,51,258,,,1.258,1013.632888,1013.928682,1013.928682,1014.211853,1014.228096,None,up,3.2821904,1014.228096,None,1014.228096,1015.477413,0.1235635,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
162,F,N,45,L,N,162FN045LN,HLN,0,52,52,217,,,1.322,1017.740599,1018.041161,1018.041161,1018.224248,1018.240867,None,up,1.9337522,1018.240867,None,1018.240867,1019.556966,0.2189312,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
397,_4,M,180,R,N,397_4M180RN,HRN,0,53,53,164,,,1.12,1020.392296,1020.688815,1020.688815,1020.889145,1020.905988,None,down,2.6331225,1020.905988,None,1020.905988,1022.004383,0.2032671,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_2,M,45,_,_,__2M045__,N,0,54,54,25,,,1.163,1023.664422,1023.954353,1023.954353,1024.253159,1024.272046,None,None,,1024.272046,None,1024.272046,1025.41896,0.1143665,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_2,N,315,_,_,__2N315__,N,0,55,55,79,,,1.041,1027.845052,1028.134438,1028.166465,1028.450249,1028.467653,1027.845052,up,3.0155444,1028.467653,None,1028.467653,1029.483007,0.1011634,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
139,F,M,90,R,N,139FM090RN,HRN,0,56,56,114,,,1.356,1031.635305,1031.929193,1031.929193,1032.19575,1032.212212,None,down,2.7826541,1032.212212,None,1032.212212,1033.560393,0.1388095,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_2,N,0,_,_,__2N000__,N,0,57,57,72,,,1.099,1035.11659,1035.409277,1035.425654,1035.709711,1035.726341,None,up,2.2818285,1035.726341,None,1035.726341,1036.808623,0.1102028,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
233,G,M,0,L,N,233GM000LN,HLN,0,58,58,136,,,0.762,1038.200496,1038.47502,1038.47502,1038.723196,1038.740551,None,down,2.3978591,1038.740551,None,1038.740551,1039.489371,0.1621632,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_5,N,0,_,_,__5N000__,N,0,59,59,88,,,0.717,1041.232948,1041.554009,1041.570435,1041.853784,1041.870309,None,up,1.8175272,1041.870309,None,1041.870309,1042.570131,0.0853072,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
451,_5,N,90,R,N,451_5N090RN,HRN,0,60,60,274,,,1.339,1043.81368,1044.102851,1044.102851,1044.402556,1044.4188,None,up,2.0495562,1044.4188,None,1044.4188,1045.751229,0.1148186,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,G,M,0,_,_,_GM000__,N,0,61,61,8,,,1.357,1046.68902,1046.982581,1046.982581,1047.183024,1047.199571,None,down,2.4004889,1047.199571,None,1047.199571,1048.547577,0.2107573,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
