Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
_,_2,M,225,_,_,__2M225__,N,0,76,76,29,,,1.15,288.6458002,288.9369837,288.9369837,289.153722,289.1707158,None,down,289.1707158,None,289.1707158,290.3029627,0.1928154,None,3.1354938,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
421,_4,N,180,L,N,421_4N180LN,HLN,0,77,77,268,,,1.35,292.5683007,292.8665322,292.8665322,293.0333083,293.0501513,None,up,293.0501513,None,293.0501513,294.3817662,0.2419335,None,2.3656121,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,45,_,_,_RN045__,N,0,78,78,65,,,0.759,295.7121253,296.0137418,296.0137418,296.1316103,296.1499978,None,up,296.1499978,None,296.1499978,296.8965023,0.2834306,None,1.6471197,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
461,_5,M,180,R,N,461_5M180RN,HRN,0,79,79,180,,,1.014,298.0030149,298.2952002,298.2952002,298.5115742,298.5282364,None,up,298.5282364,None,298.5282364,299.5274945,0.1914176,None,2.6337761,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
225,G,N,0,L,N,225GN000LN,HLN,0,80,80,232,,,1.172,301.3454301,301.6422317,301.6422317,301.8752999,301.8920275,None,up,301.8920275,None,301.8920275,303.057618,0.1715505,None,2.0355331,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
204,G,M,135,R,N,204GM135RN,HRN,0,81,81,131,,,0.836,304.1679622,304.456551,304.456551,304.6397613,304.6565792,None,down,304.6565792,None,304.6565792,305.4897027,0.2264232,None,2.0492854,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
240,G,M,315,L,N,240GM315LN,HLN,0,82,82,143,,,0.864,306.9465784,307.2375878,307.2375878,307.4218201,307.4394466,None,down,307.4394466,None,307.4394466,308.2865232,0.2262856,None,1.8974989,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
395,_4,M,90,R,N,395_4M090RN,HRN,0,83,83,162,,,0.944,309.6227855,309.91833,309.91833,310.0518004,310.0682945,None,up,310.0682945,None,310.0682945,311.000709,0.2739143,None,1.86607,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
34,R,N,45,L,N,034RN045LN,HLN,0,84,84,201,,,0.768,312.152382,312.4493715,312.4493715,312.6494201,312.6659656,None,up,312.6659656,None,312.6659656,313.4154646,0.2061307,None,1.5674161,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
429,_4,M,180,L,N,429_4M180LN,HLN,0,85,85,172,,,1.336,314.5316259,314.8307538,314.8307538,314.9471468,314.9638517,None,up,314.9638517,None,314.9638517,316.2797087,0.2852233,None,2.7661485,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
167,F,N,270,L,N,167FN270LN,HLN,0,86,86,222,,,0.872,317.9248713,318.2130681,318.2130681,318.4441942,318.4608668,None,up,318.4608668,None,318.4608668,319.327094,0.1821333,None,2.2338767,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,M,45,_,_,__2M045__,N,0,87,87,25,,,1.398,320.9252021,321.225132,321.225132,321.4084567,321.4255366,None,down,321.4255366,None,321.4255366,322.8078988,0.2163626,None,2.5336274,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,135,_,_,_GM135__,N,0,88,88,11,,,1.084,324.2563708,324.5557173,324.5557173,324.6720457,324.6888379,None,down,324.6888379,None,324.6888379,325.7554245,0.2834234,None,2.1820025,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
