Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
301,_2,M,180,L,N,301_2M180LN,HLN,0,279,279,156,,,0.757,922.4547094,922.7500082,922.7500082,922.9664857,922.9835147,None,up,922.9835147,None,922.9835147,923.7325279,0.1895589,None,2.8174535,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,N,225,_,_,_RN225__,N,0,280,280,69,,,1.326,926.0212928,926.3136446,926.3136446,926.5134549,926.5301585,None,None,926.5301585,None,926.5301585,927.8457671,0.2076832,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
4,R,N,135,R,N,004RN135RN,HRN,0,281,281,195,,,0.825,930.2307182,930.5266347,930.5266347,930.726569,930.7434209,930.2307182,down,930.7434209,None,930.7434209,931.5593848,0.2081356,None,1.720158,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
200,G,N,315,R,N,200GN315RN,HRN,0,282,282,231,,,1.282,932.7882273,933.0892322,933.0892322,933.1909684,933.2074217,None,up,933.2074217,None,933.2074217,934.4730681,0.3006586,None,2.0168165,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,N,45,_,_,__5N045__,N,0,283,283,89,,,1.214,935.4573592,935.7559556,935.7559556,935.9385448,935.955329,None,up,935.955329,None,935.955329,937.1545552,0.2193592,None,2.4490166,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,135,_,_,__4M135__,N,0,284,284,35,,,0.992,938.6254736,938.9191607,938.9191607,939.1192457,939.1356566,None,down,939.1356566,None,939.1356566,940.1179929,0.207908,None,3.0152195,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
297,_2,M,0,L,N,297_2M000LN,HLN,0,285,285,152,,,0.862,942.3543661,942.649122,942.649122,942.8656981,942.882966,None,down,942.882966,None,942.882966,943.7317046,0.1904025,None,2.249351,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,0,_,_,__4M000__,N,0,286,286,32,,,1.33,945.3701143,945.6634132,945.6634132,945.847083,945.8635687,None,down,945.8635687,None,945.8635687,947.1786025,0.2229313,None,2.235441,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
40,R,N,315,L,N,040RN315LN,HLN,0,287,287,207,,,0.927,948.4053998,948.6954039,948.6954039,948.8108732,948.8285024,None,up,948.8285024,None,948.8285024,949.7432252,0.2906408,None,1.8016577,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.6464289,None,976.7865767,None,1001.732762,None,1009.058555,None,,,,,,
