Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
_,G,N,270,_,_,_GN270__,N,0,45,45,62,,,1.121,434.61877910001203,434.91973699990194,434.91973699990194,435.11933499993756,435.136061499943,None,up,1.7830031000776216,435.136061499943,None,435.136061499943,436.2517973999493,0.19901300000492483,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
207,G,M,270,R,N,207GM270RN,HRN,0,46,46,134,,,1.194,437.1298019000096,437.4182000999572,437.4182000999572,437.63395359995775,437.6509006000124,None,down,2.5488615999929607,437.6509006000124,None,437.6509006000124,438.83294669992756,0.1959483000682667,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
201,G,M,0,R,N,201GM000RN,HRN,0,47,47,128,,,1.086,440.4349008999998,440.7313607999822,440.7313607999822,440.9156254999107,440.9312142999843,None,None,,440.9312142999843,None,440.9312142999843,441.9970355000114,0.22120560007169843,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,N,225,_,_,__2N225__,N,0,48,48,77,,,0.834,444.6113526999252,444.911252199905,444.911252199905,445.11170649994165,445.12815579993185,444.6113526999252,up,1.6191972000524402,445.12815579993185,None,445.12815579993185,445.94332720001694,0.20120149990543723,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
046,R,M,225,L,N,046RM225LN,HLN,0,49,49,109,,,0.8180000000000001,447.0083505999064,447.30893179995473,447.30893179995473,447.47537239990197,447.47537239990197,None,down,2.5510839999187738,447.47537239990197,None,447.47537239990197,448.2921580999391,0.24253649997990578,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
426,_4,M,45,L,N,426_4M045LN,HLN,0,50,50,169,,,1.114,450.23597149993293,450.5225740999449,450.5225740999449,450.739043999929,450.7557971999049,None,down,2.8654956999234855,450.7557971999049,None,450.7557971999049,451.8556583999889,0.19524709996767342,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
489,_5,M,0,L,N,489_5M000LN,HLN,0,51,51,184,,,1.168,453.8091095999116,454.1032600000035,454.1032600000035,454.3360141000012,454.3534638999263,None,down,3.197999499971047,454.3534638999263,None,454.3534638999263,455.50165160000324,0.17495719995349646,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
174,F,M,225,L,N,174FM225LN,HLN,0,52,52,125,,,1.3980000000000001,457.76951139990706,458.0659626999404,458.0659626999404,458.26594099996146,458.2829658999108,None,down,3.297287800000049,458.2829658999108,None,458.2829658999108,459.6650870000012,0.20238150004297495,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
295,_2,N,270,L,N,295_2N270LN,HLN,0,53,53,254,,,0.9470000000000001,461.8823572999099,462.1796713999938,462.1796713999938,462.29683209990617,462.3139154999517,None,up,2.4009537999518216,462.3139154999517,None,462.3139154999517,463.2448380999267,0.2880066999932751,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,F,N,270,_,_,_FN270__,N,0,54,54,54,,,0.731,464.9215792999603,465.211360199959,465.211360199959,465.42632859991863,465.443072999944,None,up,1.7515516000567004,465.443072999944,None,465.443072999944,466.1589683999773,0.19466130004730076,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
045,R,M,180,L,N,045RM180LN,HLN,0,55,55,108,,,1.367,467.4232694999082,467.72436029999517,467.72436029999517,467.90750829991885,467.92430299997795,None,None,,467.92430299997795,None,467.92430299997795,469.273068599985,0.21364520001225173,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
035,R,N,90,L,N,035RN090LN,HLN,0,56,56,202,,,1.303,471.65833309991285,471.95395019999705,471.95395019999705,472.1203983000014,472.13710069993977,471.65833309991285,up,1.951591599965468,472.13710069993977,None,472.13710069993977,473.41946949996054,0.22714720002841204,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
132,F,N,135,R,N,132FN135RN,HRN,0,57,57,211,,,0.749,474.3494864999084,474.65172480000183,474.65172480000183,474.80225559999235,474.819008499966,None,up,1.8998543000780046,474.819008499966,None,474.819008499966,475.55077019997407,0.24638070003129542,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
261,_2,N,180,R,N,261_2N180RN,HRN,0,58,58,244,,,1.141,476.932238599984,477.2338708000025,477.2338708000025,477.4336888999678,477.45173339999747,None,up,2.5309945000335574,477.45173339999747,None,477.45173339999747,478.5816381999757,0.19995680009014904,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
138,F,M,45,R,N,138FM045RN,HRN,0,59,59,113,,,0.7000000000000001,480.20387829991523,480.49705739994533,480.49705739994533,480.69671129994094,480.71325059991796,None,down,1.701493899920024,480.71325059991796,None,480.71325059991796,481.39581779995933,0.2072596000507474,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,M,270,_,_,__2M270__,N,0,60,60,30,,,1.032,482.6062027999433,482.8945454999339,482.8945454999339,483.12735510000493,483.1441472999286,None,up,2.333049100008793,483.1441472999286,None,483.1441472999286,484.1602374999784,0.17786579998210073,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_4,M,270,_,_,__4M270__,N,0,61,61,38,,,1.01,485.7033182999585,485.9921693999786,485.9921693999786,486.1915021999739,486.20834209991153,None,down,2.3665188999148086,486.20834209991153,None,486.20834209991153,487.2073000000091,0.21141470002476126,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_5,N,90,_,_,__5N090__,N,0,62,62,90,,,1.008,488.7903275999706,489.08920970000327,489.08920970000327,489.28954489994794,489.30608969996683,None,up,2.0986062000738457,489.30608969996683,None,489.30608969996683,490.30546329997014,0.20223070005886257,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
038,R,N,225,L,N,038RN225LN,HLN,0,63,63,205,,,0.8210000000000001,491.5952348000137,491.88669939991087,491.88669939991087,492.1197335999459,492.1363324999111,None,up,2.0159052999224514,492.1363324999111,None,492.1363324999111,492.9384613999864,0.17641349998302758,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,N,0,_,_,__2N000__,N,0,64,64,72,,,1.022,494.3369464999996,494.63396759994794,494.63396759994794,494.8672754999716,494.88408499991056,None,up,1.6328810999402776,494.88408499991056,None,494.88408499991056,495.88313889992423,0.1722105999942869,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
012,R,M,135,R,N,012RM135RN,HRN,0,65,65,99,,,1.03,496.73127170000225,497.03032749996055,497.03032749996055,497.2318616999546,497.2487623000052,None,up,2.249970700009726,497.2487623000052,None,497.2487623000052,498.2643696999876,0.20065859996248037,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
396,_4,M,135,R,N,396_4M135RN,HRN,0,66,66,163,,,0.862,499.70999659993686,499.997687999974,499.997687999974,500.21275800000876,500.22953229991253,None,down,2.4032046999782324,500.22953229991253,None,500.22953229991253,501.0792542999843,0.19883550005033612,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_5,M,0,_,_,__5M000__,N,0,67,67,40,,,1.339,502.8453525999794,503.1443037999561,503.1443037999561,503.3431587999221,503.3611854999326,None,up,2.331123200012371,503.3611854999326,None,503.3611854999326,504.6924301999388,0.19824300007894635,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
270,_2,M,225,R,N,270_2M225RN,HRN,0,68,68,149,,,0.805,505.95011849992443,506.24047769990284,506.24047769990284,506.40709689992946,506.42384870001115,None,down,2.748816099949181,506.42384870001115,None,506.42384870001115,507.22317089990247,0.24258660001214594,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
234,G,M,45,L,N,234GM045LN,HLN,0,69,69,137,,,1.034,509.39424880000297,509.68765589990653,509.68765589990653,509.88745909999125,509.9042404999491,None,down,2.401921500102617,509.9042404999491,None,509.9042404999491,510.9198248999892,0.20872430002782494,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
036,R,N,135,L,N,036RN135LN,HLN,0,70,70,203,,,0.782,512.4923603999196,512.7850851999829,512.7850851999829,513.018357599969,513.0346387999598,None,up,1.4506971000228077,513.0346387999598,None,513.0346387999598,513.8006711999187,0.17383999994490296,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
163,F,N,90,L,N,163FN090LN,HLN,0,71,71,218,,,1.097,514.6918993999716,514.9831367000006,514.9831367000006,515.1995035000145,515.2161991000175,None,up,1.6677591999759898,515.2161991000175,None,515.2161991000175,516.2986957000103,0.19382459996268153,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,G,M,315,_,_,_GM315__,N,0,72,72,15,,,1.049,517.0889413999394,517.3810318999458,517.3810318999458,517.597403199994,517.6141078999499,None,down,2.6002715000649914,517.6141078999499,None,517.6141078999499,518.6464860999258,0.19123659993056208,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,G,M,45,_,_,_GM045__,N,0,73,73,9,,,1.0070000000000001,520.4264168000082,520.7283768999623,520.7283768999623,520.9285027999431,520.9463718999177,None,down,2.181238300050609,520.9463718999177,None,520.9463718999177,521.9444640999427,0.19816859997808933,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
232,G,N,315,L,N,232GN315LN,HLN,0,74,74,239,,,1.3820000000000001,523.3975531999022,523.6948313999455,523.6948313999455,523.8436690999661,523.8617146000033,None,up,2.1962173000210896,523.8617146000033,None,523.8617146000033,525.2237674999051,0.2534097000025213,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
461,_5,M,180,R,N,461_5M180RN,HRN,0,75,75,180,,,1.049,526.2517625999171,526.5396270999918,526.5396270999918,526.7726623999188,526.7894280999899,None,down,2.7170979999937117,526.7894280999899,None,526.7894280999899,527.8218665999593,0.18014359998051077,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
