Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
_,_4,N,180,_,_,__4N180__,N,0,40,40,84,,,0.722,523.3179242,523.6155501,523.6155501,523.798632,523.8153139,None,up,2.9512925,523.8153139,None,523.8153139,524.5322657,0.2191005,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_4,M,90,_,_,__4M090__,N,0,41,41,34,,,1.157,526.9563272,527.245654,527.245654,527.4786741,527.4954619,None,None,,527.4954619,None,527.4954619,528.644306,0.1769019,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
489,_5,M,0,L,N,489_5M000LN,HLN,0,42,42,184,,,0.966,531.1682592,531.4587479,531.4587479,531.691578,531.7083162,531.1682592,down,2.6839037,531.7083162,None,531.7083162,532.6576356,0.1813946,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
169,F,M,0,L,N,169FM000LN,HLN,0,43,43,120,,,1.052,534.6183065,534.9055672,534.9055672,535.1056204,535.1227512,None,down,2.8650881,535.1227512,None,535.1227512,536.1551788,0.2126621,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
140,F,M,135,R,N,140FM135RN,HRN,0,44,44,115,,,1.158,538.1862015,538.4857694,538.4857694,538.7036763,538.7236167,None,down,3.177513,538.7236167,None,538.7236167,539.8684378,0.1861587,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
431,_4,M,270,L,N,431_4M270LN,HLN,0,45,45,174,,,0.975,542.0910231,542.3824285,542.3824285,542.6154072,542.6325951,None,up,2.0172101,542.6325951,None,542.6325951,543.5982808,0.1778801,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,F,M,90,_,_,_FM090__,N,0,46,46,2,,,1.041,544.8520158,545.1465317,545.1465317,545.3630205,545.3798166,None,down,3.3149592,545.3798166,None,545.3798166,546.4120343,0.1887482,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,F,N,315,_,_,_FN315__,N,0,47,47,55,,,0.729,548.9211163,549.2098335,549.2098335,549.409557,549.4262953,None,up,2.1506208,549.4262953,None,549.4262953,550.1422029,0.2119354,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
175,F,M,270,L,N,175FM270LN,HLN,0,48,48,126,,,1.064,551.8058495,552.1073013,552.1073013,552.2905181,552.3070035,None,down,3.1818135,552.3070035,None,552.3070035,553.3571538,0.2137372,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
34,R,N,45,L,N,034RN045LN,HLN,0,49,49,201,,,1.371,555.6805076,555.9702966,555.9702966,556.2036106,556.2202017,None,up,2.882333,556.2202017,None,556.2202017,557.5691474,0.1798839,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,M,315,_,_,_GM315__,N,0,50,50,15,,,0.722,559.3097266,559.6010274,559.6010274,559.8169926,559.8337356,None,down,2.0496807,559.8337356,None,559.8337356,560.5499004,0.1947346,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,M,135,_,_,_GM135__,N,0,51,51,11,,,1.126,562.0923492,562.3816363,562.3816363,562.5983724,562.6148629,None,up,3.2823047,562.6148629,None,562.6148629,563.7317091,0.1960921,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_4,N,90,_,_,__4N090__,N,0,52,52,82,,,1.264,566.1227746,566.4118541,566.4118541,566.611435,566.6281285,None,up,2.8831997,566.6281285,None,566.6281285,567.87717,0.2126485,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
391,_4,N,270,R,N,391_4N270RN,HRN,0,53,53,262,,,1.077,569.8097385,570.1081172,570.1081172,570.2246277,570.2413327,None,up,2.0160534,570.2413327,None,570.2413327,571.3069198,0.2805768,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
48,R,M,315,L,N,048RM315LN,HLN,0,54,54,111,,,1.301,572.4585589,572.7559821,572.7559821,572.9725734,572.9891786,None,down,2.7322675,572.9891786,None,572.9891786,574.271133,0.189325,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_2,M,315,_,_,__2M315__,N,0,55,55,31,,,0.871,575.9053528,576.2026702,576.2026702,576.4359529,576.4530035,None,down,2.2835337,576.4530035,None,576.4530035,577.3018346,0.1714719,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
